Ingresso;Paí;Cidade;ID;Nome;Assessor;Carteira
May-30-2021;Portugal;Cavadas;000213853-0;Torey Backsal;Maria;16,000.00
May-30-2021;Brazil;Santa Rosa;000340398-1;Arlen Fearby;Maria;12,389.00
Mar-20-2023;Yemen;Sayḩ;000581617-3;Torrie Ahrendsen;Maria;11,623.00
May-30-2021;Colombia;Mosquera;001428724-2;Shanan Stancliffe;Maria;19,851.00
May-4-2023;Ukraine;Kostyantynivka;001550580-4;Una Antonich;Maria;2,695.00
May-30-2021;Portugal;Touguinha;002526208-4;Raf Bernardino;Maria;19,553.00
Nov-6-2021;Denmark;Københav;002604060-3;Vachel Van;Maria;10,900.00
May-30-2021;Brazil;Curitiba;003783262-1;Fabio Edridge;Maria;5,123.00
May-30-2021;Brazil;São Paul;003950686-1;Sammy McAne;Jos�;20,000.00
Jun-2-2022;Portugal;Madalena;004324210-3;Jayne Fergyson;Jos�;8,540.00
Aug-3-2022;Brazil;Barueri;004612839-5;Teirtza Dixey;Jos�;11,643.00
Aug-31-2022;Brazil;Rio de Janeiro;005022380-1;Alexandrina Luparto;Jos�;5,631.00
May-30-2021;United States;Greensboro;005472452-1;Modestine Geraudy;Jos�;12,775.00
May-30-2021;Seychelles;Port Glaud;005950193-6;Honoria Coldicott;Jos�;17,640.00
May-30-2021;Brazil;Pirassununga;007176688-1;Patricia Cregan;Jos�;10,973.00
May-30-2021;Poland;Cisiec;007390589-5;Justin Blazewski;Jos�;6,336.00
Oct-6-2021;Indonesia;Ciguha Tengah;008061505-8;Fredi Kruse;Pedro;5,680.00
May-30-2021;Argentina;Bella Vista;008572530-7;Caroline Damiata;Pedro;17,220.00
May-5-2022;Portugal;Banzã;009134977-1;Dane Puddifer;Pedro;8,536.00
Apr-9-2023;Brazil;São Paul;010449383-6;Roobbie Azam;Pedro;8,937.00
Feb-25-2023;Ukraine;Lazurne;011069427-9;Tessi Geaveny;Pedro;4,330.00
May-30-2021;Sweden;Vårgår;011389689-1;Kelsi Dade;Pedro;2,847.00
May-30-2021;Argentina;Sunchales;011692320-2;Thomasina Heditch;Pedro;1,938.00
May-30-2021;Philippines;Sipocot;012612121-4;Cherri Fochs;Pedro;15,249.00
Aug-23-2021;United States;Newark;012788012-7;Chance Haker;Pedro;2,853.00
Feb-1-2022;Argentina;Chamical;013108036-9;Rennie Curteis;Pedro;2,933.00
May-30-2021;Kosovo;Pej�;013338363-6;Rhiamon Guillon;Carla;13,495.00
May-30-2021;Brazil;Tiet�;013501810-2;Daryl Kedwell;Carla;13,881.00
Apr-8-2023;Brazil;Gavea;013685979-8;Mace MacDearmaid;Carla;3,056.00
May-26-2022;Russia;Urazovka;014222316-6;Aldous Boswell;Carla;4,071.00
May-30-2021;Haiti;Ouanaminthe;014561957-5;Skippy Leads;Carla;11,453.00
Aug-8-2021;Peru;San Jerónim;014895410-3;Jan Jefferys;Carla;7,353.00
Apr-23-2023;Brazil;Pitangui;014933119-3;Julietta Catterell;Carla;1,563.00
May-30-2021;United States;Aurora;015520604-4;Gustave Dhennin;Carla;7,763.00
May-30-2021;Colombia;Sogamoso;015934369-0;Janella Winspire;Carla;13,531.00
Aug-5-2021;Brazil;Timbaúb;016221412-1;Rickey Colaco;Carla;6,494.00
Oct-26-2021;Colombia;Guamal;016605534-4;Cami Mapplebeck;Antôni;4,342.00
Mar-3-2023;Philippines;Masinloc;016686560-5;Farrell Ainscough;Antôni;5,208.00
May-30-2021;United States;Montgomery;016694057-7;Naoma Landor;Antôni;17,043.00
May-30-2021;Portugal;Vale da Bajouca;017671733-1;Amargo Stroban;Antôni;13,057.00
Jun-12-2021;South Korea;Kurye;018198507-1;Rosemaria Flag;Antôni;1,035.00
Nov-12-2021;South Africa;Phuthaditjhaba;018302332-3;Rog Stoade;Antôni;4,728.00
May-30-2021;Brazil;Rio de Janeiro;019035683-9;Brittani Hantusch;Antôni;13,930.00
May-30-2021;Brazil;Macau;019143957-6;Currey Jorgensen;Antôni;16,618.00
May-30-2021;Brazil;Itaún;020190894-8;Klara Parkyn;Antôni;11,555.00
Oct-21-2021;Brazil;São Paul;020211691-3;Odille Baglan;Antôni;5,730.00
May-30-2021;Brazil;RJ;020702763-3;Therine Marquess;Antôni;15,805.00
May-30-2021;Brazil;;022183480-1;Jeanne Allery;Antôni;12,964.00
May-7-2022;Poland;Wilkó;022798739-1;Tobit Powland;Antôni;8,054.00
Apr-4-2023;United States;Erie;023489515-2;Nanon Donnell;Denise;2,730.00
Aug-2-2021;Brazil;Corrego Grande;023507216-8;Ansel O'Mullaney;Denise;3,955.00
May-30-2021;Niger;Tessaoua;023568333-7;Jerry Cromarty;Denise;18,685.00
May-30-2021;Brazil;Jacarezinho;023824124-6;Callie Lidgate;Denise;6,310.00
May-30-2021;Brazil;Pirassununga;024176779-2;Katalin Barfield;Denise;17,120.00
May-29-2022;Russia;Koz’modem’y;024183994-7;Emlen Fell;Denise;2,060.00
May-30-2021;United States;Norfolk;024309407-8;Killian Macknish;Denise;8,104.00
May-30-2021;Hungary;Győ;024873096-7;Josephine Dewitt;Denise;15,293.00
Nov-9-2022;United States;Sacramento;024920873-3;Brigham Cradey;Denise;6,626.00
Mar-26-2023;Brazil;Cacul�;026047316-2;Nefen Ducrow;Denise;560.00,
Oct-18-2021;Indonesia;Ulee Gle;028933628-7;Herbie Dood;Denise;6,814.00
Jan-12-2023;Portugal;Manhete;029395710-1;Bud Gutcher;Denise;8,520.00
Nov-24-2022;Russia;Makarov;029637387-7;Reinhold Josefson;Denise;7,050.00
May-30-2021;Russia;Irbit;029695588-4;Fred Carabine;Denise;12,256.00
Jan-17-2022;Russia;Fershampenuaz;031093616-0;Quinn Caseri;Roberta;4,902.00
May-30-2021;Russia;Michurinskoye;032394580-5;Armstrong O'Deegan;Roberta;15,455.00
